=== tuning batch: world 288, tag "minor_10" ===
trials 10   success 9 (90%)   collision 0   timeout 1
OT 6.23 s   2*OT clip 12.47 s
AT  min 10.3  median 11.9  max 16.9  sd 2.0
AT/OT median 1.91   trials above the 2*OT clip: 3/9
MEAN SCORE 0.4286   (ceiling for this success rate: 0.4500)
per-trial: 11 13 17 10 T 15 10 12 12 11

log events per trial (recovery is the quantity being tuned):
  trial         no_progress      recovery       reverse   replan_fail  mpc_deadline
  trial_1.log             0             0             0             0             0
  trial_2.log             0             0             0             0             0
  trial_3.log             0             0             0             0             0
  trial_4.log             0             0             0             0             0
  trial_5.log             1             1             0             0             0
  trial_6.log             0             0             0             0             0
  trial_7.log             0             0             0             0             0
  trial_8.log             0             0             0             0             0
  trial_9.log             0             0             0             0             0
  trial_10.log             0             0             0             0             0
