=== tuning batch: world 294, tag "20_obstacle_margin_0.10" ===
trials 10   success 10 (100%)   collision 0   timeout 0
OT 5.89 s   2*OT clip 11.78 s
AT  min 25.1  median 31.8  max 39.9  sd 4.7
AT/OT median 5.39   trials above the 2*OT clip: 10/10
MEAN SCORE 0.1871   (ceiling for this success rate: 0.5000)
per-trial: 36 40 25 28 31 31 32 36 36 25

log events per trial (recovery is the quantity being tuned):
  trial         no_progress      recovery       reverse   replan_fail  mpc_deadline
  trial_1.log             0             0             0             0             0
  trial_2.log             0             0             0             0             0
  trial_3.log             0             0             0             0             0
  trial_4.log             0             0             0             0             0
  trial_5.log             0             0             0             0             0
  trial_6.log             0             0             0             0             0
  trial_7.log             0             0             0             0             0
  trial_8.log             0             0             0             0             0
  trial_9.log             0             0             0             0             0
  trial_10.log             0             0             0             0             0
