=== tuning batch: world 294, tag "40_lookahead_1.5" ===
trials 10   success 9 (90%)   collision 0   timeout 1
OT 5.89 s   2*OT clip 11.78 s
AT  min 24.2  median 28.4  max 34.7  sd 2.9
AT/OT median 4.82   trials above the 2*OT clip: 9/9
MEAN SCORE 0.1890   (ceiling for this success rate: 0.4500)
per-trial: 28 29 T 30 24 26 35 29 27 26

log events per trial (recovery is the quantity being tuned):
  trial         no_progress      recovery       reverse   replan_fail  mpc_deadline
  trial_1.log             0             0             0             0             0
  trial_2.log             0             0             0             0             0
  trial_3.log             0             4             2             0             0
  trial_4.log             0             0             0             0             0
  trial_5.log             0             0             0             0             0
  trial_6.log             0             0             0             0             0
  trial_7.log             0             0             0             0             0
  trial_8.log             0             0             0             0             0
  trial_9.log             0             0             0             0             0
  trial_10.log             0             0             0             0             0
