=== tuning batch: world 294, tag "60_open_cornering" ===
trials 10   success 10 (100%)   collision 0   timeout 0
OT 5.89 s   2*OT clip 11.78 s
AT  min 22.1  median 26.8  max 32.0  sd 3.2
AT/OT median 4.55   trials above the 2*OT clip: 10/10
MEAN SCORE 0.2232   (ceiling for this success rate: 0.5000)
per-trial: 23 28 30 28 32 22 23 26 25 30

log events per trial (recovery is the quantity being tuned):
  trial         no_progress      recovery       reverse   replan_fail  mpc_deadline
  trial_1.log             0             0             0             0             0
  trial_2.log             2             2             0             0             0
  trial_3.log             0             0             0             0             0
  trial_4.log             0             0             0             0             0
  trial_5.log             0             0             0             0             0
  trial_6.log             0             0             0             0             0
  trial_7.log             0             0             0             0             0
  trial_8.log             0             0             0             0             0
  trial_9.log             0             0             0             0             0
  trial_10.log             0             0             0             0             0
