=== tuning batch: world 66, tag "100_tier1_fixes" ===
trials 10   success 10 (100%)   collision 0   timeout 0
OT 5.33 s   2*OT clip 10.66 s
AT  min 22.3  median 25.5  max 95.9  sd 21.2
AT/OT median 4.78   trials above the 2*OT clip: 10/10
MEAN SCORE 0.1981   (ceiling for this success rate: 0.5000)
per-trial: 24 26 96 30 37 23 25 27 24 22

log events per trial (recovery is the quantity being tuned):
  trial         no_progress      recovery       reverse   replan_fail  mpc_deadline
  trial_1.log             0             0             0             0             0
  trial_2.log             0             0             0             0             0
  trial_3.log             0            53             0             0             0
  trial_4.log             1             1             0             0             0
  trial_5.log             0             3             0             0             0
  trial_6.log             1             1             0             0             0
  trial_7.log             0             0             0             0             0
  trial_8.log             0             0             0             0             0
  trial_9.log             0             0             0             0             0
  trial_10.log             1             1             0             0             0
