=== tuning batch: world 66, tag "111_field_5cm_n10" ===
trials 10   success 10 (100%)   collision 0   timeout 0
OT 5.33 s   2*OT clip 10.66 s
AT  min 18.4  median 24.2  max 83.6  sd 24.0
AT/OT median 4.55   trials above the 2*OT clip: 10/10
MEAN SCORE 0.2095   (ceiling for this success rate: 0.5000)
per-trial: 25 56 23 21 18 29 19 20 77 84

log events per trial (recovery is the quantity being tuned):
  trial         no_progress      recovery       reverse   replan_fail  mpc_deadline
  trial_1.log             1             1             0             0             0
  trial_2.log             4             4             0             0             0
  trial_3.log             0             0             0             0             0
  trial_4.log             1             1             1             0             0
  trial_5.log             1             1             0             0             0
  trial_6.log             2             2             0             0             0
  trial_7.log             1             1             0             0             0
  trial_8.log             0             0             0             0             0
  trial_9.log             7             7             0             0             0
  trial_10.log             6             6             0             0             0
