=== tuning batch: world 66, tag "120_tier1_only" ===
trials 10   success 10 (100%)   collision 0   timeout 0
OT 5.33 s   2*OT clip 10.66 s
AT  min 14.5  median 24.3  max 82.1  sd 19.4
AT/OT median 4.56   trials above the 2*OT clip: 10/10
MEAN SCORE 0.2224   (ceiling for this success rate: 0.5000)
per-trial: 44 16 14 26 45 20 23 27 82 22

log events per trial (recovery is the quantity being tuned):
  trial         no_progress      recovery       reverse   replan_fail  mpc_deadline
  trial_1.log             2             2             0             0             0
  trial_2.log             0             0             0             0             0
  trial_3.log             0             0             0             0             0
  trial_4.log             0             0             0             0             0
  trial_5.log             3             3             0             0             0
  trial_6.log             0             0             0             0             0
  trial_7.log             0             0             0             0             0
  trial_8.log             0             0             0             0             0
  trial_9.log             6             6             0             0             0
  trial_10.log             0             0             0             0             0
