=== tuning batch: world 66, tag "130_drivable_astar" ===
trials 10   success 9 (90%)   collision 0   timeout 1
OT 5.33 s   2*OT clip 10.66 s
AT  min 21.6  median 37.5  max 70.2  sd 14.9
AT/OT median 7.04   trials above the 2*OT clip: 9/9
MEAN SCORE 0.1460   (ceiling for this success rate: 0.4500)
per-trial: 43 31 22 38 35 51 54 70 22 T

log events per trial (recovery is the quantity being tuned):
  trial         no_progress      recovery       reverse   replan_fail  mpc_deadline
  trial_1.log             2             2             2             0             0
  trial_2.log             0             0             0             0             0
  trial_3.log             0             0             0             0             0
  trial_4.log             1             1             0             0             0
  trial_5.log             1             1             1             0             0
  trial_6.log             5             5             0             0             0
  trial_7.log             4             4             0             0             0
  trial_8.log             2             2             0             0             0
  trial_9.log             0             0             0             0             0
  trial_10.log             8             8             1             0             0
